id,family,source,hand_found,hand_nodes,hand_time_ms,learned_found,learned_nodes,learned_time_ms
lin01,linear,phase0,True,1,28.816699999879347,True,1,85.49139999740873
lin02,linear,phase0,True,5,445.4734999999346,True,5,1239.2361999991408
lin03,linear,phase0,True,1,39.35769999952754,True,1,106.03049999917857
lin04,linear,phase0,True,6,431.72670000058133,True,4,1322.8292999992846
lin05,linear,phase0,True,1,51.306200002727564,True,1,120.23180000323919
qua01,quadratic,phase0,True,1,127.42100000104983,True,1,342.6415999965684
qua02,quadratic,phase0,True,1,121.20219999997062,True,1,351.19469999699504
qua03,quadratic,phase0,True,17,754.7884000014164,True,4,1365.6781999998202
qua04,quadratic,phase0,True,2,886.3817999990715,True,6,5078.274200001033
qua05,quadratic,phase0,True,19,5140.63299999907,True,2,1021.8793999993068
rat01,rational,phase0,True,2,287.5572999982978,True,4,1762.5417000017478
rat02,rational,phase0,True,3,163.34800000186078,True,11,1801.6539999989618
rat03,rational,phase0,True,4,222.3572000002605,True,3,457.5274000017089
rat04,rational,phase0,True,2,233.77500000060536,True,3,836.4714000017557
rat05,rational,phase0,True,8,520.6145999982255,True,4,1755.7922000014514
poly01,polynomial,phase0,True,1,186.79799999881652,True,1,313.92549999873154
poly02,polynomial,phase0,True,1,153.2403000019258,True,1,290.54270000051474
poly03,polynomial,phase0,True,1,141.70329999979003,True,1,318.16880000042147
poly04,polynomial,phase0,True,1,183.58200000147917,True,1,365.64759999964735
poly05,polynomial,phase0,True,1,98.64839999863761,True,1,188.2772000026307
